,date,code,close
0,2016-01-04,A053800,86200.0
1,2016-01-04,A042500,5200.0
2,2016-01-04,A049480,3055.0
3,2016-01-04,A025560,447.073
4,2016-01-04,A048830,4140.97
5,2016-01-04,A004770,7090.0
6,2016-01-05,A053800,85000.0
7,2016-01-05,A025560,451.839
8,2016-01-05,A049480,3120.0
9,2016-01-05,A042500,5200.0
10,2016-01-05,A048830,4076.77
11,2016-01-05,A004770,7120.0
12,2016-01-06,A048830,3962.13
13,2016-01-06,A049480,3000.0
14,2016-01-06,A053800,82900.0
15,2016-01-06,A004770,6910.0
16,2016-01-06,A025560,444.213
17,2016-01-06,A042500,4970.0
18,2016-01-07,A025560,436.587
19,2016-01-07,A004770,7040.0
20,2016-01-07,A053800,84800.0
21,2016-01-07,A042500,4950.0
22,2016-01-07,A048830,3962.13
23,2016-01-07,A049480,3045.0
24,2016-01-08,A004770,7030.0
25,2016-01-08,A042500,4965.0
26,2016-01-08,A049480,3000.0
27,2016-01-08,A053800,84100.0
28,2016-01-08,A048830,3980.47
29,2016-01-08,A025560,428.961
30,2016-01-11,A049480,2755.0
31,2016-01-11,A048830,3962.13
32,2016-01-11,A042500,4710.0
33,2016-01-11,A025560,428.008
34,2016-01-11,A004770,6550.0
35,2016-01-11,A053800,79000.0
36,2016-01-12,A053800,76500.0
37,2016-01-12,A042500,4655.0
38,2016-01-12,A004770,6500.0
39,2016-01-12,A025560,425.148
40,2016-01-12,A048830,3870.41
41,2016-01-12,A049480,2710.0
42,2016-01-13,A048830,3980.47
43,2016-01-13,A053800,78600.0
44,2016-01-13,A049480,2805.0
45,2016-01-13,A004770,6720.0
46,2016-01-13,A025560,427.055
47,2016-01-13,A042500,4695.0
48,2016-01-14,A049480,2720.0
49,2016-01-14,A048830,4099.7
50,2016-01-14,A004770,6610.0
51,2016-01-14,A025560,428.008
52,2016-01-14,A042500,4510.0
53,2016-01-14,A053800,75800.0
54,2016-01-15,A048830,4007.99
55,2016-01-15,A049480,2560.0
56,2016-01-15,A042500,4380.0
57,2016-01-15,A004770,6150.0
58,2016-01-15,A053800,71800.0
59,2016-01-15,A025560,418.475
60,2016-01-18,A004770,5370.0
61,2016-01-18,A053800,67000.0
62,2016-01-18,A042500,4500.0
63,2016-01-18,A025560,405.13
64,2016-01-18,A049480,2485.0
65,2016-01-18,A048830,3654.88
66,2016-01-19,A048830,3466.86
67,2016-01-19,A004770,5750.0
68,2016-01-19,A025560,412.756
69,2016-01-19,A042500,4500.0
70,2016-01-19,A049480,2475.0
71,2016-01-19,A053800,71500.0
72,2016-01-20,A025560,395.598
73,2016-01-20,A048830,3210.06
74,2016-01-20,A053800,66400.0
75,2016-01-20,A042500,4100.0
76,2016-01-20,A049480,2280.0
77,2016-01-20,A004770,5170.0
78,2016-01-21,A049480,2300.0
79,2016-01-21,A053800,65800.0
80,2016-01-21,A048830,3113.76
81,2016-01-21,A042500,3960.0
82,2016-01-21,A025560,397.504
83,2016-01-21,A004770,5150.0
84,2016-01-22,A025560,394.644
