날짜,문재인테마주,날짜,홍준표테마주,날짜,안철수테마주,날짜,유승민테마주,날짜,안희정테마주
2017-07-23,0.11854,2017-11-27,0.02807,2017-07-27,0.04679,2017-08-17,0.01871,2017-07-23,0.36188
2017-07-24,0.43988,2017-11-28,0.05927,2017-07-28,0.03431,2017-08-25,0.01559,2017-07-24,0.53659
2017-07-25,0.43676,2017-11-29,0.02807,2017-07-31,0.01559,2017-08-26,0.01871,2017-07-25,0.54283
2017-07-26,0.40244,2017-11-30,0.01871,2017-08-01,0.06239,2017-08-28,0.02183,2017-07-26,0.47419
2017-07-27,0.48979,2017-12-01,0.04055,2017-08-02,0.18094,2017-08-29,0.02495,2017-07-27,0.43364
2017-07-28,0.34629,2017-12-03,0.02807,2017-08-03,0.54595,2017-08-30,0.02807,2017-07-28,0.48979
2017-07-29,0.10919,2017-12-04,0.03743,2017-08-04,0.17158,2017-08-31,0.02495,2017-07-29,0.34629
2017-07-30,0.10607,2017-12-05,0.1279,2017-08-05,0.02807,2017-09-02,0.01871,2017-07-30,0.23709
2017-07-31,0.18094,2017-12-06,0.16846,2017-08-06,0.06551,2017-09-05,0.01871,2017-07-31,0.43988
2017-08-01,0.18718,2017-12-07,0.06551,2017-08-07,0.10607,2017-09-06,0.07175,2017-08-01,0.43052
2017-08-02,0.21838,2017-12-08,0.06239,2017-08-08,0.07487,2017-09-07,0.17158,2017-08-02,0.58962
2017-08-03,0.2215,2017-12-09,0.03119,2017-08-09,0.08111,2017-09-08,0.07799,2017-08-03,0.48043
2017-08-04,0.23398,2017-12-10,0.03743,2017-08-10,0.06863,2017-09-10,0.05927,2017-08-04,0.40556
2017-08-05,0.08735,2017-12-11,0.02495,2017-08-11,0.05615,2017-09-11,0.12478,2017-08-05,0.33069
2017-08-06,0.09047,2017-12-12,0.06239,2017-08-12,0.01559,2017-09-12,0.02183,2017-08-06,0.4274
2017-08-07,0.21526,2017-12-13,0.07487,2017-08-13,0.02183,2017-09-13,0.01871,2017-08-07,0.53659
2017-08-08,0.27141,2017-12-14,0.09359,2017-08-14,0.06551,2017-09-14,0.05615,2017-08-08,0.63642
2017-08-09,0.16534,2017-12-15,0.07175,2017-08-15,0.01871,2017-09-18,0.02495,2017-08-09,0.50539
2017-08-10,0.27765,2017-12-16,0.03431,2017-08-16,0.20278,2017-09-19,0.03119,2017-08-10,0.40556
2017-08-11,0.24645,2017-12-17,0.05615,2017-08-17,0.08735,2017-09-20,0.01871,2017-08-11,0.38684
2017-08-12,0.08423,2017-12-18,0.11231,2017-08-18,0.08111,2017-09-21,0.02183,2017-08-12,0.23398
2017-08-13,0.12166,2017-12-19,0.08735,2017-08-19,0.02807,2017-09-22,0.01871,2017-08-13,0.31821
2017-08-14,0.2059,2017-12-20,0.06239,2017-08-20,0.12166,2017-09-23,0.02183,2017-08-14,0.39308
2017-08-15,0.11231,2017-12-21,0.08423,2017-08-21,0.1435,2017-09-25,0.01871,2017-08-15,0.30261
2017-08-16,0.31821,2017-12-22,0.65826,2017-08-22,0.11854,2017-09-29,0.2059,2017-08-16,0.57091
2017-08-17,0.50227,2017-12-23,0.17158,2017-08-23,0.08735,2017-09-30,0.01871,2017-08-17,0.67074
2017-08-18,0.31509,2017-12-24,0.07175,2017-08-24,0.08735,2017-10-06,0.03743,2017-08-18,0.53347
2017-08-19,0.1279,2017-12-25,0.08111,2017-08-25,0.05927,2017-10-08,0.03119,2017-08-19,0.30261
2017-08-20,0.15286,2017-12-26,0.11543,2017-08-26,0.04679,2017-10-09,0.03431,2017-08-20,0.34005
2017-08-21,0.4118,2017-12-27,0.08423,2017-08-27,0.4586,2017-10-10,0.06239,2017-08-21,0.62394
2017-08-22,0.25269,2017-12-28,0.05615,2017-08-28,0.41804,2017-10-11,0.04991,2017-08-22,0.61458
2017-08-23,0.2215,2017-12-29,0.02807,2017-08-29,0.14038,2017-10-12,0.01559,2017-08-23,0.73937
2017-08-24,0.23709,2017-12-30,0.03743,2017-08-30,0.09671,2017-10-13,0.01559,2017-08-24,0.65514
2017-08-25,0.28077,2017-12-31,0.02183,2017-08-31,0.06239,2017-10-17,0.05615,2017-08-25,0.52723
2017-08-26,0.07487,,,2017-09-01,0.06239,2017-10-18,0.02495,2017-08-26,0.43052
2017-08-27,0.1435,,,2017-09-02,0.03743,2017-10-19,0.14662,2017-08-27,0.41492
2017-08-28,0.25581,,,2017-09-03,0.03431,2017-10-20,0.20902,2017-08-28,0.6645
2017-08-29,0.25269,,,2017-09-04,0.03431,2017-10-21,0.02807,2017-08-29,0.69882
2017-08-30,0.28701,,,2017-09-05,0.07799,2017-10-22,0.09671,2017-08-30,0.53347
2017-08-31,0.20902,,,2017-09-06,0.08423,2017-10-23,0.09671,2017-08-31,1.05759
2017-09-01,0.25581,,,2017-09-07,0.11543,2017-10-24,0.04055,2017-09-01,0.86104
2017-09-02,0.12166,,,2017-09-08,0.04991,2017-10-25,0.01871,2017-09-02,0.36812
2017-09-03,0.09047,,,2017-09-09,0.04991,2017-10-26,0.03743,2017-09-03,0.27765
2017-09-04,0.10607,,,2017-09-10,0.03431,2017-10-29,0.01871,2017-09-04,0.67386
2017-09-05,0.12166,,,2017-09-11,0.03119,2017-10-30,0.01559,2017-09-05,0.66762
2017-09-06,0.18406,,,2017-09-12,0.06239,2017-10-31,0.03743,2017-09-06,1.09814
2017-09-07,0.18406,,,2017-09-13,0.06551,2017-11-01,0.02183,2017-09-07,1.09502
2017-09-08,0.16222,,,2017-09-14,0.06863,2017-11-02,0.02183,2017-09-08,0.54283
2017-09-09,0.03743,,,2017-09-15,0.03431,2017-11-03,0.04367,2017-09-09,0.34317
2017-09-10,0.07487,,,2017-09-16,0.01871,2017-11-05,0.03119,2017-09-10,0.33381
2017-09-11,0.13102,,,2017-09-18,0.04367,2017-11-06,0.16846,2017-09-11,0.6333
2017-09-12,0.13414,,,2017-09-19,0.06551,2017-11-07,0.02495,2017-09-12,0.6177
2017-09-13,0.20902,,,2017-09-20,0.08111,2017-11-08,0.01559,2017-09-13,0.48667
2017-09-14,0.22462,,,2017-09-21,0.06239,2017-11-09,0.04679,2017-09-14,0.46484
2017-09-15,0.15286,,,2017-09-22,0.04991,2017-11-10,0.01559,2017-09-15,0.53347
2017-09-16,0.06863,,,2017-09-25,0.04991,2017-11-12,0.01559,2017-09-16,0.32445
2017-09-17,0.07799,,,2017-09-26,0.03743,2017-11-13,0.35253,2017-09-17,0.33693
2017-09-18,0.1435,,,2017-09-27,0.03431,2017-11-14,0.13414,2017-09-18,0.58027
2017-09-19,0.16222,,,2017-09-28,0.07487,2017-11-15,0.04679,2017-09-19,0.56779
2017-09-20,0.18094,,,2017-09-29,0.05303,2017-11-16,0.01871,2017-09-20,0.47731
2017-09-21,0.1591,,,2017-09-30,0.02495,2017-11-17,0.01559,2017-09-21,0.4274
2017-09-22,0.1435,,,2017-10-01,0.04055,2017-11-20,0.05927,2017-09-22,0.37748
2017-09-23,0.07487,,,2017-10-02,0.03119,2017-11-22,0.02495,2017-09-23,0.19342
2017-09-24,0.04991,,,2017-10-03,0.02183,2017-11-23,0.12478,2017-09-24,0.25269
2017-09-25,0.14662,,,2017-10-04,0.02183,2017-11-24,0.1435,2017-09-25,0.443
2017-09-26,0.14662,,,2017-10-06,0.02807,2017-11-25,0.04679,2017-09-26,0.29325
2017-09-27,0.1747,,,2017-10-07,0.02495,2017-11-26,0.04055,2017-09-27,0.46484
2017-09-28,0.14974,,,2017-10-08,0.03119,2017-11-27,0.04367,2017-09-28,0.6021
2017-09-29,0.1279,,,2017-10-10,0.08423,2017-11-28,0.06551,2017-09-29,0.50227
2017-09-30,0.04367,,,2017-10-11,0.06239,2017-11-29,0.03743,2017-09-30,0.19966
2017-10-01,0.04679,,,2017-10-12,0.07175,2017-11-30,0.01871,2017-10-01,0.15598
2017-10-02,0.05615,,,2017-10-13,0.08423,2017-12-01,0.08111,2017-10-02,0.13726
2017-10-03,0.06551,,,2017-10-14,0.01871,2017-12-02,0.02495,2017-10-03,0.1435
2017-10-04,0.04367,,,2017-10-15,0.02183,2017-12-03,0.02183,2017-10-04,0.27141
2017-10-05,0.04367,,,2017-10-16,0.04367,2017-12-04,0.01871,2017-10-05,0.14662
2017-10-06,0.07799,,,2017-10-17,0.07487,2017-12-05,0.17158,2017-10-06,0.11543
2017-10-07,0.06239,,,2017-10-18,0.18094,2017-12-06,0.27765,2017-10-07,0.09047
2017-10-08,0.06551,,,2017-10-19,0.13726,2017-12-07,0.10919,2017-10-08,0.12478
2017-10-09,0.09047,,,2017-10-20,0.58962,2017-12-08,0.10919,2017-10-09,0.17158
2017-10-10,0.16534,,,2017-10-21,0.16534,2017-12-09,0.01871,2017-10-10,0.25893
2017-10-11,0.18406,,,2017-10-22,0.11854,2017-12-10,0.05615,2017-10-11,0.26205
2017-10-12,0.24957,,,2017-10-23,0.21214,2017-12-11,0.07175,2017-10-12,0.24645
2017-10-13,0.2059,,,2017-10-24,0.20278,2017-12-12,0.05927,2017-10-13,0.24333
2017-10-14,0.04367,,,2017-10-25,0.12166,2017-12-13,0.04055,2017-10-14,0.06239
2017-10-15,0.09359,,,2017-10-26,0.07175,2017-12-14,0.09983,2017-10-15,0.09047
2017-10-16,0.14974,,,2017-10-27,0.05303,2017-12-15,0.07175,2017-10-16,0.14038
2017-10-17,0.19654,,,2017-10-28,0.06239,2017-12-16,0.01559,2017-10-17,0.19342
2017-10-18,1.58482,,,2017-10-29,0.04367,2017-12-17,0.02807,2017-10-18,0.24957
2017-10-19,0.97647,,,2017-10-30,0.13414,2017-12-18,0.10919,2017-10-19,0.28077
2017-10-20,0.6021,,,2017-10-31,0.10919,2017-12-19,0.04991,2017-10-20,0.41804
2017-10-21,0.20902,,,2017-11-01,0.11543,2017-12-20,0.10919,2017-10-21,0.35876
2017-10-22,0.20902,,,2017-11-02,0.07799,2017-12-21,0.08735,2017-10-22,0.1903
2017-10-23,0.44612,,,2017-11-03,0.11231,2017-12-22,0.09671,2017-10-23,0.28701
2017-10-24,0.44612,,,2017-11-04,0.02183,2017-12-23,0.01871,2017-10-24,0.34629
2017-10-25,0.48043,,,2017-11-05,0.05615,2017-12-26,0.01871,2017-10-25,0.19654
2017-10-26,0.51163,,,2017-11-06,0.08735,2017-12-27,0.02807,2017-10-26,0.21838
2017-10-27,0.40556,,,2017-11-07,0.18718,2017-12-28,0.06863,2017-10-27,0.19966
2017-10-28,0.09983,,,2017-11-08,0.09983,2017-12-29,0.02183,2017-10-28,0.10295
2017-10-29,0.14662,,,2017-11-09,0.07487,2017-12-30,0.03743,2017-10-29,0.05615
2017-10-30,0.39932,,,2017-11-10,0.04991,2017-12-31,0.10919,2017-10-30,0.20278
2017-10-31,0.3806,,,2017-11-11,0.01871,,,2017-10-31,0.1435
2017-11-01,0.31821,,,2017-11-12,0.03743,,,2017-11-01,0.12478
2017-11-02,0.30261,,,2017-11-13,0.09671,,,2017-11-02,0.4118
2017-11-03,0.24645,,,2017-11-14,0.15598,,,2017-11-03,0.21526
2017-11-04,0.13726,,,2017-11-15,0.09671,,,2017-11-04,0.13726
2017-11-05,0.12478,,,2017-11-16,0.05615,,,2017-11-05,0.08735
2017-11-06,0.19654,,,2017-11-17,0.08111,,,2017-11-06,0.1279
2017-11-07,0.45236,,,2017-11-18,0.02495,,,2017-11-07,0.19966
2017-11-08,0.26205,,,2017-11-19,0.04055,,,2017-11-08,0.11854
2017-11-09,0.28389,,,2017-11-20,0.11543,,,2017-11-09,0.23086
2017-11-10,0.20902,,,2017-11-21,0.09671,,,2017-11-10,0.11854
2017-11-11,0.11231,,,2017-11-22,0.08111,,,2017-11-11,0.03431
2017-11-12,0.16846,,,2017-11-23,0.11854,,,2017-11-12,0.09047
2017-11-13,0.26829,,,2017-11-24,0.09359,,,2017-11-13,0.09359
2017-11-14,0.31509,,,2017-11-25,0.05303,,,2017-11-14,0.09983
2017-11-15,0.40868,,,2017-11-26,0.07175,,,2017-11-15,0.16846
2017-11-16,0.365,,,2017-11-27,0.17782,,,2017-11-16,0.16222
2017-11-17,0.33069,,,2017-11-28,0.17158,,,2017-11-17,0.09359
2017-11-18,0.23086,,,2017-11-29,0.07487,,,2017-11-18,0.09983
2017-11-19,0.18406,,,2017-11-30,0.05927,,,2017-11-19,0.1279
2017-11-20,0.46172,,,2017-12-01,0.07487,,,2017-11-20,0.32445
2017-11-21,0.52723,,,2017-12-02,0.04367,,,2017-11-21,0.30885
2017-11-22,0.48043,,,2017-12-03,0.02183,,,2017-11-22,0.18718
2017-11-23,0.37436,,,2017-12-04,0.10607,,,2017-11-23,0.2059
2017-11-24,0.40244,,,2017-12-05,0.56155,,,2017-11-24,0.10919
2017-11-25,0.21526,,,2017-12-06,0.30885,,,2017-11-25,0.09047
2017-11-26,0.19654,,,2017-12-07,0.22462,,,2017-11-26,0.11543
2017-11-27,0.34629,,,2017-12-08,0.1279,,,2017-11-27,0.24645
2017-11-28,0.34629,,,2017-12-09,0.11854,,,2017-11-28,0.13414
2017-11-29,0.30885,,,2017-12-10,0.13102,,,2017-11-29,0.17158
2017-11-30,0.26205,,,2017-12-11,0.15286,,,2017-11-30,0.16534
2017-12-01,0.38372,,,2017-12-12,0.12478,,,2017-12-01,0.15286
2017-12-02,0.21526,,,2017-12-13,0.10295,,,2017-12-02,0.1747
2017-12-03,0.20278,,,2017-12-14,0.11854,,,2017-12-03,0.05615
2017-12-04,0.56467,,,2017-12-15,0.13102,,,2017-12-04,0.13414
2017-12-05,3.91838,,,2017-12-16,0.06239,,,2017-12-05,0.34317
2017-12-06,2.32108,,,2017-12-17,0.08111,,,2017-12-06,0.23709
2017-12-07,1.18237,,,2017-12-18,0.19654,,,2017-12-07,0.17782
2017-12-08,0.72377,,,2017-12-19,0.14038,,,2017-12-08,0.23709
2017-12-09,0.34629,,,2017-12-20,0.365,,,2017-12-09,0.14974
2017-12-10,0.41492,,,2017-12-21,0.16534,,,2017-12-10,0.22774
2017-12-11,0.58651,,,2017-12-22,0.10607,,,2017-12-11,0.30573
2017-12-12,0.89224,,,2017-12-23,0.08111,,,2017-12-12,0.37748
2017-12-13,0.64266,,,2017-12-24,0.06551,,,2017-12-13,0.44924
2017-12-14,0.55531,,,2017-12-25,0.07799,,,2017-12-14,0.33069
2017-12-15,0.36812,,,2017-12-26,0.21526,,,2017-12-15,0.30573
2017-12-16,0.20278,,,2017-12-27,0.23398,,,2017-12-16,0.25269
2017-12-17,0.16222,,,2017-12-28,0.12478,,,2017-12-17,0.31821
2017-12-18,0.38684,,,2017-12-29,0.06551,,,2017-12-18,1.46939
2017-12-19,0.32445,,,2017-12-30,0.05303,,,2017-12-19,1.03575
2017-12-20,0.31509,,,2017-12-31,0.26829,,,2017-12-20,0.49915
2017-12-21,0.26205,,,,,,,2017-12-21,0.39932
2017-12-22,0.24333,,,,,,,2017-12-22,0.1903
2017-12-23,0.11231,,,,,,,2017-12-23,0.10919
2017-12-24,0.12478,,,,,,,2017-12-24,0.23086
2017-12-25,0.12478,,,,,,,2017-12-25,0.28389
2017-12-26,0.26517,,,,,,,2017-12-26,0.18094
2017-12-27,0.21214,,,,,,,2017-12-27,0.1279
2017-12-28,0.24333,,,,,,,2017-12-28,0.13414
2017-12-29,0.16846,,,,,,,2017-12-29,0.10607
2017-12-30,0.10295,,,,,,,2017-12-30,0.07175
2017-12-31,0.11231,,,,,,,2017-12-31,0.06239
