,date,code,close
0,2016-01-04,A155660,4030.0
1,2016-01-04,A035890,1030.0
2,2016-01-04,A039560,6380.0
3,2016-01-04,A069730,3785.0
4,2016-01-04,A096630,1305.0
5,2016-01-04,A119850,4102.51
6,2016-01-04,A065650,3287.41
7,2016-01-04,A102120,5720.0
8,2016-01-04,A115500,3840.0
9,2016-01-04,A002140,2010.0
10,2016-01-04,A042110,2135.0
11,2016-01-05,A065650,3224.29
12,2016-01-05,A039560,6400.0
13,2016-01-05,A119850,4183.65
14,2016-01-05,A155660,3910.0
15,2016-01-05,A035890,1055.0
16,2016-01-05,A042110,2135.0
17,2016-01-05,A069730,3785.0
18,2016-01-05,A002140,2020.0
19,2016-01-05,A096630,1305.0
20,2016-01-05,A115500,4010.0
21,2016-01-05,A102120,5830.0
22,2016-01-06,A065650,3515.64
23,2016-01-06,A119850,4102.51
24,2016-01-06,A102120,5930.0
25,2016-01-06,A039560,6400.0
26,2016-01-06,A069730,3775.0
27,2016-01-06,A096630,1340.0
28,2016-01-06,A035890,1040.0
29,2016-01-06,A002140,2045.0
30,2016-01-06,A042110,2140.0
31,2016-01-06,A115500,3930.0
32,2016-01-06,A155660,3915.0
33,2016-01-07,A002140,2010.0
34,2016-01-07,A096630,1300.0
35,2016-01-07,A155660,3890.0
36,2016-01-07,A035890,1020.0
37,2016-01-07,A042110,2110.0
38,2016-01-07,A102120,5890.0
39,2016-01-07,A115500,3935.0
40,2016-01-07,A069730,3710.0
41,2016-01-07,A039560,6400.0
42,2016-01-07,A119850,4021.37
43,2016-01-07,A065650,3428.23
44,2016-01-08,A039560,6290.0
45,2016-01-08,A002140,1975.0
46,2016-01-08,A096630,1285.0
47,2016-01-08,A155660,3885.0
48,2016-01-08,A069730,3685.0
49,2016-01-08,A102120,5770.0
50,2016-01-08,A042110,2120.0
51,2016-01-08,A115500,3930.0
52,2016-01-08,A035890,1020.0
53,2016-01-08,A065650,3515.64
54,2016-01-08,A119850,4031.52
55,2016-01-11,A042110,2125.0
56,2016-01-11,A035890,1045.0
57,2016-01-11,A069730,3685.0
58,2016-01-11,A039560,6150.0
59,2016-01-11,A119850,3965.59
60,2016-01-11,A096630,1250.0
61,2016-01-11,A155660,3905.0
62,2016-01-11,A065650,3535.06
63,2016-01-11,A002140,1940.0
64,2016-01-11,A102120,5470.0
65,2016-01-11,A115500,3860.0
66,2016-01-12,A042110,2105.0
67,2016-01-12,A155660,3875.0
68,2016-01-12,A115500,3875.0
69,2016-01-12,A102120,5470.0
70,2016-01-12,A065650,3578.76
71,2016-01-12,A119850,3965.59
72,2016-01-12,A039560,6070.0
73,2016-01-12,A096630,1275.0
74,2016-01-12,A002140,1915.0
75,2016-01-12,A069730,3680.0
76,2016-01-12,A035890,1025.0
77,2016-01-13,A065650,3564.2
78,2016-01-13,A119850,4046.73
79,2016-01-13,A039560,6150.0
80,2016-01-13,A069730,3740.0
81,2016-01-13,A102120,5800.0
82,2016-01-13,A042110,2100.0
83,2016-01-13,A115500,4020.0
84,2016-01-13,A035890,1055.0
85,2016-01-13,A002140,1955.0
86,2016-01-13,A096630,1465.0
87,2016-01-13,A155660,3880.0
88,2016-01-14,A035890,1035.0
89,2016-01-14,A042110,2090.0
90,2016-01-14,A119850,3996.02
91,2016-01-14,A002140,1920.0
92,2016-01-14,A096630,1500.0
93,2016-01-14,A102120,5700.0
94,2016-01-14,A069730,3710.0
95,2016-01-14,A155660,3870.0
96,2016-01-14,A115500,4280.0
97,2016-01-14,A065650,3467.08
98,2016-01-14,A039560,6660.0
99,2016-01-15,A039560,6640.0
100,2016-01-15,A002140,1865.0
101,2016-01-15,A119850,3874.31
102,2016-01-15,A065650,3428.23
103,2016-01-15,A102120,5550.0
104,2016-01-15,A096630,1420.0
105,2016-01-15,A115500,5560.0
106,2016-01-15,A042110,2090.0
107,2016-01-15,A069730,3715.0
108,2016-01-15,A155660,3825.0
109,2016-01-15,A035890,1020.0
110,2016-01-18,A102120,5480.0
111,2016-01-18,A096630,1580.0
112,2016-01-18,A039560,6500.0
113,2016-01-18,A119850,3843.89
114,2016-01-18,A002140,1800.0
115,2016-01-18,A035890,1020.0
116,2016-01-18,A155660,3855.0
117,2016-01-18,A042110,2055.0
118,2016-01-18,A065650,3437.94
119,2016-01-18,A069730,3695.0
120,2016-01-18,A115500,5760.0
121,2016-01-19,A065650,3374.82
122,2016-01-19,A155660,3800.0
123,2016-01-19,A102120,5490.0
124,2016-01-19,A069730,3705.0
125,2016-01-19,A039560,6670.0
126,2016-01-19,A096630,1625.0
127,2016-01-19,A002140,1815.0
128,2016-01-19,A119850,3833.74
129,2016-01-19,A115500,5350.0
130,2016-01-19,A042110,2075.0
131,2016-01-19,A035890,1020.0
132,2016-01-20,A069730,3680.0
133,2016-01-20,A035890,992.0
134,2016-01-20,A115500,4910.0
135,2016-01-20,A119850,3676.54
136,2016-01-20,A155660,3965.0
137,2016-01-20,A065650,3209.72
138,2016-01-20,A096630,1460.0
139,2016-01-20,A102120,5280.0
140,2016-01-20,A042110,2040.0
141,2016-01-20,A002140,1795.0
142,2016-01-20,A039560,6310.0
143,2016-01-21,A069730,3680.0
144,2016-01-21,A065650,3238.85
145,2016-01-21,A102120,5190.0
146,2016-01-21,A096630,1500.0
147,2016-01-21,A115500,4885.0
148,2016-01-21,A002140,1745.0
149,2016-01-21,A039560,6130.0
150,2016-01-21,A042110,2075.0
151,2016-01-21,A119850,3610.62
152,2016-01-21,A035890,992.0
153,2016-01-21,A155660,3925.0
154,2016-01-22,A069730,3775.0
155,2016-01-22,A065650,3340.83
156,2016-01-22,A102120,5150.0
157,2016-01-22,A042110,2035.0
158,2016-01-22,A039560,6430.0
159,2016-01-22,A119850,3580.19
160,2016-01-22,A002140,1790.0
161,2016-01-22,A155660,3975.0
162,2016-01-22,A035890,1005.0
163,2016-01-22,A115500,4590.0
164,2016-01-22,A096630,1620.0
165,2016-01-25,A155660,4010.0
166,2016-01-25,A096630,1590.0
167,2016-01-25,A002140,1850.0
168,2016-01-25,A115500,4575.0
169,2016-01-25,A119850,3696.82
170,2016-01-25,A102120,5350.0
171,2016-01-25,A042110,2055.0
172,2016-01-25,A065650,3491.36
173,2016-01-25,A039560,6570.0
174,2016-01-25,A069730,3835.0
175,2016-01-25,A035890,1005.0
176,2016-01-26,A155660,3985.0
177,2016-01-26,A065650,3418.52
178,2016-01-26,A096630,1545.0
179,2016-01-26,A069730,3760.0
180,2016-01-26,A115500,4465.0
181,2016-01-26,A039560,6660.0
182,2016-01-26,A119850,3646.11
183,2016-01-26,A035890,991.0
184,2016-01-26,A042110,1995.0
185,2016-01-26,A102120,5250.0
186,2016-01-26,A002140,1820.0
187,2016-01-27,A102120,5270.0
188,2016-01-27,A096630,1500.0
189,2016-01-27,A002140,1810.0
190,2016-01-27,A065650,3447.66
191,2016-01-27,A042110,2035.0
192,2016-01-27,A155660,3985.0
193,2016-01-27,A119850,3620.76
194,2016-01-27,A069730,3715.0
195,2016-01-27,A039560,6770.0
196,2016-01-27,A035890,985.0
197,2016-01-27,A115500,4740.0
198,2016-01-28,A155660,3995.0
199,2016-01-28,A042110,2065.0
200,2016-01-28,A102120,5440.0
201,2016-01-28,A069730,3715.0
202,2016-01-28,A065650,3369.96
203,2016-01-28,A039560,6580.0
204,2016-01-28,A035890,981.0
205,2016-01-28,A096630,1525.0
206,2016-01-28,A115500,4580.0
207,2016-01-28,A002140,1835.0
208,2016-01-28,A119850,3732.32
209,2016-01-29,A119850,3676.54
210,2016-01-29,A002140,1870.0
211,2016-01-29,A039560,6750.0
212,2016-01-29,A042110,2165.0
213,2016-01-29,A069730,3740.0
214,2016-01-29,A065650,3476.79
215,2016-01-29,A096630,1520.0
216,2016-01-29,A102120,5460.0
217,2016-01-29,A155660,4000.0
218,2016-01-29,A115500,4215.0
219,2016-01-29,A035890,1000.0
220,2016-02-01,A035890,998.0
221,2016-02-01,A155660,3975.0
222,2016-02-01,A069730,3720.0
223,2016-02-01,A119850,3691.75
224,2016-02-01,A065650,3559.34
225,2016-02-01,A115500,4060.0
226,2016-02-01,A096630,1475.0
227,2016-02-01,A002140,1905.0
228,2016-02-01,A042110,2125.0
229,2016-02-01,A102120,5410.0
230,2016-02-01,A039560,6520.0
231,2016-02-02,A039560,6450.0
232,2016-02-02,A002140,1865.0
233,2016-02-02,A065650,3515.64
234,2016-02-02,A102120,5420.0
235,2016-02-02,A115500,4045.0
236,2016-02-02,A042110,2110.0
237,2016-02-02,A035890,995.0
238,2016-02-02,A069730,3670.0
239,2016-02-02,A096630,1405.0
240,2016-02-02,A155660,3980.0
241,2016-02-02,A119850,3777.96
242,2016-02-03,A155660,3980.0
243,2016-02-03,A065650,3539.92
244,2016-02-03,A102120,5260.0
245,2016-02-03,A042110,2105.0
246,2016-02-03,A035890,984.0
247,2016-02-03,A115500,4010.0
248,2016-02-03,A039560,6540.0
249,2016-02-03,A119850,3752.61
250,2016-02-03,A069730,3650.0
251,2016-02-03,A096630,1425.0
252,2016-02-03,A002140,1875.0
253,2016-02-04,A096630,1415.0
254,2016-02-04,A069730,3690.0
255,2016-02-04,A039560,6500.0
256,2016-02-04,A002140,1880.0
257,2016-02-04,A155660,3970.0
258,2016-02-04,A042110,2140.0
259,2016-02-04,A035890,993.0
260,2016-02-04,A065650,3505.93
261,2016-02-04,A102120,5370.0
262,2016-02-04,A115500,4150.0
263,2016-02-04,A119850,3752.61
264,2016-02-05,A065650,3588.48
265,2016-02-05,A035890,998.0
266,2016-02-05,A002140,1875.0
267,2016-02-05,A042110,2135.0
268,2016-02-05,A102120,5500.0
269,2016-02-05,A069730,3740.0
270,2016-02-05,A119850,3777.96
271,2016-02-05,A155660,3970.0
272,2016-02-05,A096630,1430.0
273,2016-02-05,A039560,6260.0
274,2016-02-05,A115500,4230.0
275,2016-02-11,A096630,1375.0
276,2016-02-11,A065650,3326.26
277,2016-02-11,A069730,3525.0
278,2016-02-11,A035890,975.0
279,2016-02-11,A002140,1700.0
280,2016-02-11,A115500,3975.0
281,2016-02-11,A042110,2085.0
282,2016-02-11,A102120,5510.0
283,2016-02-11,A155660,3890.0
284,2016-02-11,A119850,3691.75
285,2016-02-11,A039560,6080.0
286,2016-02-12,A035890,929.0
287,2016-02-12,A069730,3370.0
288,2016-02-12,A042110,1900.0
289,2016-02-12,A115500,3700.0
290,2016-02-12,A096630,1305.0
291,2016-02-12,A155660,3720.0
292,2016-02-12,A119850,3529.48
293,2016-02-12,A102120,5380.0
294,2016-02-12,A065650,3151.45
295,2016-02-12,A002140,1630.0
296,2016-02-12,A039560,5750.0
297,2016-02-15,A065650,3166.02
298,2016-02-15,A069730,3375.0
299,2016-02-15,A096630,1390.0
300,2016-02-15,A102120,5470.0
301,2016-02-15,A002140,1690.0
302,2016-02-15,A039560,5930.0
303,2016-02-15,A155660,3820.0
304,2016-02-15,A042110,1955.0
305,2016-02-15,A035890,983.0
306,2016-02-15,A115500,3980.0
307,2016-02-15,A119850,3600.47
308,2016-02-16,A119850,3666.4
309,2016-02-16,A065650,3214.58
310,2016-02-16,A035890,1015.0
311,2016-02-16,A002140,1750.0
312,2016-02-16,A039560,6070.0
313,2016-02-16,A096630,1395.0
314,2016-02-16,A102120,5540.0
315,2016-02-16,A115500,4100.0
316,2016-02-16,A069730,3390.0
317,2016-02-16,A042110,1995.0
318,2016-02-16,A155660,3840.0
319,2016-02-17,A102120,5500.0
320,2016-02-17,A119850,3666.4
